TIC,sectors
2228954,19
3242384,12
4113082,5
4206238,6
4294664,6
4350339,6
4350574,6
4352884,6
4357441,6
11197417,6
11199441,6
11199550,6
11284400,6
11286019,6
11286037,6
11409171,6
11411658,6
24775707,6
29502449,8
29502967,9
29944458,8
30747148,9
31063001,8
34397579,6
34472159,6
38044097,5
38090218,5
41626821,12
42426702,12
43488669,5
47390297,2
49178630,9
50525865,6
50529755,6
50583973,6
50625209,6
50625269,6
50658071,6
50661105,6
50721545,6
50721548,6
50744570,6
50745441,6
50749753,6
50749771,6
50788340,6
51288359,12
53053490,8
55995777,5
56624875,19
56624887,19
56640860,8
56658816,19
57830249,10
58177093,19
58229208,19
58231519,19
58285830,19
58287935,19
58467184,19
58467657,19
58582428,12
58752825,12
59334299,12
59498906,12
59879081,19
60609638,7
60609654,8
65243533,13
67822046,12
72914708,6
72921546,6
80719093,7
81198421,7
81427015,7
81611586,8
90552118,18
90571672,18
90572194,18
90650249,18
94159924,12
94335354,18
95977956,12
96205005,19
96533063,19
97041244,19
97205711,19
99211574,12
99286096,12
99286102,12
101033688,18
101166802,18
113274213,13
124072515,7
125641411,7
126970139,11
138114580,18
138114646,18
138115487,18
138125261,18
142930997,4
143211493,6
143211542,6
143670534,8
143676630,7
144616195,6
144666684,6
144697607,6
146725602,3
149809200,12
150286027,7
151764983,9
156204656,19
158867831,6
159089190,6
167303776,1
171013132,19
171013450,19
171078069,19
171078793,19
172615355,12
179413040,11
181505926,8
182162882,7
182162883,7
182306992,7
182307759,7
184506694,8
190122229,8
190122334,8
190123032,8
190124801,8
190254174,8
190255415,8
193136669,9
199780139,6
199780336,6
199898021,6
199899712,6
200478060,6
200515351,6
200515741,6
200516548,6
200518711,6
200587752,6
200591757,6
200592903,6
200639492,6
200640498,6
200771597,18
201357489,18
201357511,18
201357685,18
207017053,6
207045924,6
210732282,12
220281682,6
220322339,6
220496487,1
225023779,12
226241509,12
232289663,6
238339263,7
240660823,17
241626984,11
241728550,11
243324939,11
248400259,5
248473576,5
248473577,5
248992945,5
254021762,13
254063046,13
254487666,12
255263381,12
255464386,12
261674916,10
264541453,6
264739659,6
266079454,10
266842406,10
268441813,7
268915006,7
269117420,6
269117422,6
269520098,17
270840174,8
276661407,6
276661634,6
276664304,6
277553960,11
277554109,11
277671331,11
277671333,11
277671413,11
279540150,6
279540475,6
279578258,6
279578264,6
279640846,6
279640885,6
279640956,6
279644770,6
279644771,6
279819212,12
284158141,6
284158620,6
284283865,6
284283995,6
284284126,6
284284812,6
284583483,7
284730577,5
285920558,7
290174208,6
302672869,6
302762301,6
302830280,6
302830374,6
308749877,1
309795677,6
309935285,8
311410991,2
314944955,13
315810194,17
316339361,13
316430346,11
317873721,6
321551426,16
322322754,17
323350447,11
323354855,11
326661506,11
328238004,11
332919383,6
332969781,6
334999132,11
335623526,16
336119910,17
336119914,17
336190656,16
336197099,16
336457800,16
338926351,17
338926355,17
343412488,16
343564048,16
347007416,17
347113611,17
349294278,18
349924407,6
350073391,17
350135873,16
352114297,18
352931610,18
355821272,19
356471230,19
357104316,11
357956061,19
358901633,17
359343200,17
359445425,9
360148823,11
361461887,11
361816009,11
361818250,11
361957000,11
361957001,11
361958446,11
361958490,11
365643369,6
365643370,6
365846027,6
366674658,17
366718686,17
366719046,17
366760722,17
367089511,17
367183127,24
367183148,17
367243118,17
367286993,17
367302292,19
367420555,17
367420579,17
372070676,17
373333074,18
374812110,12
376088043,18
382639653,12
382699910,12
387759888,16
387833145,16
387878615,16
388245385,16
388935228,6
389417519,18
390896668,18
391993044,12
393878678,11
393878734,11
393878735,11
393878779,11
393878829,11
393878833,11
393878922,11
393970740,11
393971446,11
395730544,18
395771056,18
396300606,17
396300742,17
396357886,17
402831061,18
404797424,1
406956018,18
408339697,19
412308868,11
417832699,18
419954392,11
421793947,16
425368089,11
426186475,6
427334205,6
427348371,6
427349922,6
427376833,6
427377705,6
427380721,6
427395634,6
427397135,6
427400158,6
427453750,6
427459842,6
428476066,17
434229695,5
435933026,6
436013289,6
436013947,6
436098573,6
436153664,6
436159171,6
436161611,6
436243662,6
436248202,6
436248216,6
436650857,5
438521908,6
442652560,12
442689368,12
442813719,12
442960247,5
452694529,10
454258158,11
454258275,11
454258470,11
454258687,11
454259216,11
454259409,11
454290773,11
454290777,11
454291403,11
454291734,11
454291880,11
454292504,12
454327430,12
454327459,12
454327547,12
454328115,11
454328225,11
454328866,11
454328868,11
454363834,12
454364113,12
454364285,12
454364807,11
454365494,11
454365495,11
454366531,12
456656093,7
457229780,6
457229782,6
457231768,6
457250759,6
457250777,6
457251847,6
457995946,12
462044648,12
464783416,12
467463928,16
467773418,10
470475885,19
504659413,18
604414165,17
609597649,18
641072919,18
641131733,18
713067496,6
715848097,6
715878312,6
715881035,6
762225404,6
904295318,11
904313345,11
954767237,11
954890399,11
954893801,11
992331079,10
1052918018,11
1128094885,12
1164663109,12
1354328238,12
2042628844,17
2051692830,18
