TIC ID,sectors
1003831,"[8, 34, 61]"
1129033,"[4, 31]"
1167538,"[5, 31, 32]"
1528696,"[5, 32]"
4610830,"[42, 70]"
4616072,"[6, 7, 33]"
4646810,"[4, 31]"
4897275,"[21, 48]"
5882269,"[43, 44, 45, 71]"
6663331,[13]
6892385,"[44, 45, 46, 71]"
6893917,"[44, 45, 46, 71]"
7020254,"[7, 34, 45, 46, 71]"
7059054,"[44, 45, 46, 71]"
7088246,[13]
7548817,"[14, 25, 26, 40, 52]"
8260536,[48]
8260536,[48]
8400842,"[19, 59]"
8599009,"[26, 40, 53]"
8767448,"[21, 48]"
9006668,"[2, 29, 69]"
9155187,[47]
9385460,[64]
9443323,[59]
9725627,"[2, 29, 42]"
10837041,[30]
11561667,"[9, 35, 62]"
12421862,"[2, 29]"
12862099,[3]
13021029,"[5, 32]"
13349647,"[8, 34]"
14344979,"[9, 35, 45, 46]"
14570099,"[44, 45, 46]"
14614418,"[10, 36]"
14661418,"[10, 36]"
14770122,"[44, 45, 46]"
15445551,"[10, 11, 37]"
15692883,"[17, 57]"
16288184,"[12, 39]"
16740101,"[14, 15, 41, 55, 75]"
17307715,"[43, 44]"
17409453,"[43, 44, 70, 71]"
17746821,"[7, 34, 44, 45, 46]"
17865622,"[15, 56]"
17993892,"[22, 48]"
18310799,"[43, 44, 70, 71]"
19028197,"[44, 45, 46, 71]"
19342878,"[7, 34, 61]"
19684256,"[8, 9, 35]"
20096620,[47]
20182780,"[23, 24, 50, 51]"
21113347,[37]
21744120,"[25, 26]"
22221375,"[9, 35, 62]"
22233480,"[40, 52, 53]"
22529346,"[7, 33, 34, 61]"
23434737,"[9, 10, 36, 63]"
24358417,"[5, 6, 32]"
25155310,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39]"
25375553,"[1, 28, 68]"
26017005,"[42, 43, 44, 70, 71]"
26078330,"[42, 43, 44, 70, 71]"
26826078,"[44, 45, 46, 71, 72]"
27039476,"[43, 71]"
27064468,"[45, 46, 48, 72]"
27064468,"[45, 46, 48, 72]"
27318774,"[41, 54, 55]"
27491137,"[16, 23, 50]"
27491137,"[16, 23, 50]"
27491137,"[16, 23, 50]"
27534138,"[40, 41, 54, 55]"
27635334,"[44, 45, 46, 71, 72]"
27769688,"[14, 15, 40, 41, 54, 55]"
27774415,"[40, 41, 54, 55]"
27848472,"[26, 40, 53, 54, 74]"
27916356,"[14, 15, 41, 54, 55, 56]"
27990610,"[41, 54, 55]"
28230919,"[14, 15, 41, 54, 55, 56, 74]"
28900646,"[19, 59]"
29344935,"[1, 28]"
29781292,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68]"
29781292,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65]"
